A904815,A940894
A950307,A964753
A950468,A940889
A950516,A954339
A950786,A977460
A950852,A952158
A950895,A995206
A951117,A963141
A951257,A919832
A951342,A941839
A951464,A919853
A951501,A910422
A951923,A992422
A952158,A950852
A952344,A938944
A952388,A912598
A952524,A985695
A952565,A964285
A952601,A974203
A953223,A975361
A953332,A926543
A953651,A976148
A953732,A995908
A954268,A928570
A954289,A938690
A954339,A950516
A954482,A949102
A954611,A918858
A955019,A976009
A955148,A984188
A955395,A991926
A956088,A962001
A956318,A993716
A956360,A940160
A956629,A922152
A956979,A966966
A957040,A904856
A957178,A945558
A957739,A967497
A957975,A905752
A958391,A958921
A958588,A925950
A958921,A958391
A958931,A908163
A959056,A994047
A959276,A996534
A959820,A996807
A959980,A950008
A960201,A965906
A960575,A974744
A960593,A993116
A960894,A949089
A961495,A910635
A961502,A940980
A961503,A946127
A961685,A935886
A961849,A982726
A962001,A956088
A962020,A906029
A962164,A927781
A962397,A996632
A962668,A931719
A962749,A972083
A962900,A992600
A962935,A965569
A962996,A938988
A963141,A951117
A963455,A982697
A963538,A916731
A963607,A990379
A963817,A950256
A963919,A964181
A964181,A963919
A964195,A919435
A964285,A952565
A964315,A971734
A964508,A985423
A964753,A950307
A964780,A982814
A964787,A936644
A964789,A995006
A964863,A936795
A965136,A910666
A965194,A909613
A965214,A970902
A965245,A997661
A965539,A938993
A965557,A911888
A965569,A962935
A965621,A967296
A965789,A977253
A965889,A998814
A965906,A960201
A966451,A909582
A966966,A956979
A967296,A965621
A967497,A957739
A968221,A981786
A969108,A989063
A969358,A911973
A969649,A949284
A969735,A913301
A969867,A979362
A969935,A973455
A970221,A908856
A970280,A997723
A970746,A980704
A970902,A965214
A970979,A920780
A971298,A917594
A971429,A979366
A971659,A916281
A971683,A918855
A971734,A964315
A972083,A962749
A972438,A925306
A972471,A993209
A972568,A993856
A972619,A926127
A972681,A949414
A972798,A997836
A972862,A997896
A973217,A930566
A973417,A941647
A973455,A969935
A973732,A943325
A973905,A930724
A974078,A949204
A974203,A952601
A974744,A960575
A974812,A924867
A975179,A949555
A975361,A953223
A975367,A922005
A975416,A941576
A975548,A915698
A975698,A932157
A975724,A982586
A975741,A940710
A975792,A919335
A976009,A955019
A976148,A953651
A976758,A937765
A976987,A905950
A977045,A921081
A977253,A965789
A977460,A950786
A977943,A914194
A978674,A986634
A978719,A943017
A978741,A984179
A978851,A988678
A979207,A908947
A979362,A969867
A979366,A971429
A979381,A920383
A979507,A925848
A979567,A948779
A980704,A970746
A981320,A908374
A981786,A968221
A981973,A926381
A982586,A975724
A982697,A963455
A982726,A961849
A982814,A964780
A982903,A909928
A982944,A940649
A982953,A915679
A982954,A910654
A983043,A933877
A983351,A915557
A984179,A917495
A984179,A978741
A984188,A955148
A985109,A990241
A985149,A985669
A985423,A964508
A985669,A985149
A985695,A952524
A985844,A914584
A985906,A927284
A986028,A995860
A986634,A978674
A986695,A998299
A987384,A934739
A988117,A938719
A988241,A933167
A988678,A978851
A988803,A995223
A989063,A969108
A989451,A994585
A989628,A997628
A989818,A929244
A990241,A985109
A990379,A963607
A990856,A995805
A991926,A955395
A992422,A951923
A992600,A962900
A993116,A960593
A993209,A972471
A993457,A938843
A993716,A956318
A993856,A972568
A993905,A943871
A993974,A933684
A994047,A959056
A994453,A933669
A994479,A938510
A994506,A941058
A994585,A989451
A995006,A964789
A995206,A950895
A995223,A988803
A995805,A990856
A995860,A986028
A995908,A953732
A996032,A906471
A996534,A959276
A996632,A962397
A996807,A959820
A997422,A921445
A997628,A989628
A997661,A965245
A997723,A970280
A997739,A938675
A997836,A972798
A997896,A972862
A998299,A986695
A998615,A924303
A998814,A965889
